Number,Name,Theme,Subtheme,Year,Pieces,Minifigs,Availability,Retired,ReleasedDate,RetiredDate,Retail,Paid,Value,Growth,Condition,Date,Notes,Collection,Status,URL
71024-16,Jack Skellington,Minifigure Series,Disney Series 2,2019,9,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","17;22 €",331.62,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-16/lego-disney-minifigure-series-2-jack-skellington
71024-17,Edna Mode,Minifigure Series,Disney Series 2,2019,7,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","7;27 €",82.18,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-17/lego-disney-minifigure-series-2-edna-mode
71024-18,Frozone,Minifigure Series,Disney Series 2,2019,6,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","4;65 €",16.45,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-18/lego-disney-minifigure-series-2-frozone
71024-19,Complete Set,Minifigure Series,Disney Series 2,2019,111,18,Retail,True,19/05/2019,01/01/2020,"71;82 €","71;82 €","117;17 €",63.15,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-19/disney-series-2-complete-set
75227-1,Darth Vader Bust,Star Wars,Promotional,2019,327,0,RetailLimited,True,11/04/2019,12/04/2019,"39;99 €","39;99 €","130;38 €",226.03,New,,,Default,Owned,https://www.brickeconomy.com/set/75227-1/lego-star-wars-darth-vader-bust
75236-1,Duel on Starkiller Base,Star Wars,The Force Awakens,2019,191,2,Retail,True,01/04/2019,12/06/2020,"19;99 €","19;99 €","31;10 €",55.57,New,,,Default,Owned,https://www.brickeconomy.com/set/75236-1/lego-star-wars-duel-on-starkiller-base
75238-1,Action Battle Endor Assault,Star Wars,Episode VI,2019,193,2,Retail,True,01/04/2019,03/01/2021,"29;99 €","29;99 €","32;33 €",7.81,New,,,Default,Owned,https://www.brickeconomy.com/set/75238-1/lego-star-wars-action-battle-endor-assault
75239-1,Hoth Generator Attack,Star Wars,Episode V,2019,235,2,Retail,True,01/04/2019,01/05/2021,"29;99 €","29;99 €","26;39 €",-12.00,New,,,Default,Owned,https://www.brickeconomy.com/set/75239-1/lego-star-wars-hoth-generator-attack
75240-1,"Major Vonreg's TIE Fighter",Star Wars,Resistance,2019,496,4,Retail,True,01/04/2019,12/01/2021,"69;99 €","69;99 €","109;96 €",57.12,New,,,Default,Owned,https://www.brickeconomy.com/set/75240-1/lego-star-wars-resistance-major-vonregs-tie-fighter
75241-1,Action Battle Echo Base Defence,Star Wars,Episode V,2019,504,6,Retail,True,01/04/2019,07/12/2020,"59;99 €","59;99 €","57;20 €",-4.65,New,,,Default,Owned,https://www.brickeconomy.com/set/75241-1/lego-star-wars-action-battle-echo-base-defence
75242-1,Black Ace TIE Interceptor,Star Wars,Resistance,2019,396,3,Retail,True,01/04/2019,08/12/2020,"49;99 €","49;99 €","61;86 €",23.75,New,,,Default,Owned,https://www.brickeconomy.com/set/75242-1/lego-star-wars-resistance-black-ace-tie-interceptor
75243-1,Slave I – 20th Anniversary Edition,Star Wars,Episode V,2019,1007,6,Retail,True,01/04/2019,28/11/2020,"119;99 €","119;99 €","171;60 €",43.01,New,,,Default,Owned,https://www.brickeconomy.com/set/75243-1/lego-star-wars-slave-i-20th-anniversary-edition
75244-1,Tantive IV,Star Wars,Episode IV,2019,1768,6,Exclusive,True,05/05/2019,20/12/2020,"199;99 €","199;99 €","246;41 €",23.21,New,,,Default,Owned,https://www.brickeconomy.com/set/75244-1/lego-star-wars-tantive-iv
75258-1,"Anakin's Podracer – 20th Anniversary Edition",Star Wars,Episode I,2019,279,3,Retail,True,01/04/2019,12/01/2021,"29;99 €","29;99 €","46;96 €",56.57,New,,,Default,Owned,https://www.brickeconomy.com/set/75258-1/lego-star-wars-anakins-podracer-20th-anniversary-edition
75259-1,Snowspeeder – 20th Anniversary Edition,Star Wars,Episode V,2019,309,4,Retail,True,01/04/2019,16/12/2019,"39;99 €","39;99 €","115;05 €",187.70,New,,,Default,Owned,https://www.brickeconomy.com/set/75259-1/lego-star-wars-snowspeeder-20th-anniversary-edition
75261-1,Clone Scout Walker  – 20th Anniversary Edition,Star Wars,Episode III,2019,250,5,Retail,True,01/04/2019,15/04/2020,"29;99 €","29;99 €","70;39 €",134.72,New,,,Default,Owned,https://www.brickeconomy.com/set/75261-1/star-wars-clone-scout-walker-20th-anniversary-edition
75262-1,Imperial Dropship  – 20th Anniversary Edition,Star Wars,Legends,2019,125,5,Retail,True,01/04/2019,11/12/2019,"19;99 €","19;99 €","39;56 €",97.92,New,,,Default,Owned,https://www.brickeconomy.com/set/75262-1/imperial-dropship-20th-anniversary-edition
76123-1,Captain America: Outriders Attack,Marvel Super Heroes,Avengers Endgame,2019,167,4,Retail,True,01/04/2019,01/12/2020,"24;99 €","24;99 €","20;16 €",-19.32,New,,,Default,Owned,https://www.brickeconomy.com/set/76123-1/lego-avengers-endgame-captain-america-outriders-attack
76124-1,War Machine Buster,Marvel Super Heroes,Avengers Endgame,2019,362,4,Retail,True,01/04/2019,01/01/2021,"34;99 €","34;99 €","43;96 €",25.65,New,,,Default,Owned,https://www.brickeconomy.com/set/76124-1/lego-avengers-endgame-war-machine-buster
76125-1,Iron Man Hall of Armour,Marvel Super Heroes,Avengers Endgame,2019,524,6,Retail,True,01/04/2019,01/08/2021,"59;99 €","59;99 €","46;31 €",-22.81,New,,,Default,Owned,https://www.brickeconomy.com/set/76125-1/lego-avengers-endgame-iron-man-hall-of-armour
76126-1,Avengers Ultimate Quinjet,Marvel Super Heroes,Avengers Endgame,2019,838,6,Retail,True,01/04/2019,01/01/2021,"79;99 €","79;99 €","85;38 €",6.74,New,,,Default,Owned,https://www.brickeconomy.com/set/76126-1/lego-avengers-endgame-avengers-ultimate-quinjet
76128-1,Molten Man Battle,Marvel Super Heroes,Spider-Man Far From Home,2019,294,3,Retail,True,22/04/2019,20/11/2020,"29;99 €","29;99 €","44;03 €",46.80,New,,,Default,Owned,https://www.brickeconomy.com/set/76128-1/lego-spider-man-far-from-home-molten-man-battle
76129-1,Hydro-Man Attack,Marvel Super Heroes,Spider-Man Far From Home,2019,471,4,Retail,True,22/04/2019,13/02/2020,"39;99 €","39;99 €","38;82 €",-2.93,New,,,Default,Owned,https://www.brickeconomy.com/set/76129-1/lego-spider-man-far-from-home-hydro-man-attack
76130-1,Stark Jet and Drone Attack,Marvel Super Heroes,Spider-Man Far From Home,2019,504,4,Retail,True,22/04/2019,17/11/2020,"59;99 €","59;99 €","68;20 €",13.69,New,,,Default,Owned,https://www.brickeconomy.com/set/76130-1/lego-spider-man-far-from-home-stark-jet-and-drone-attack
76131-1,Avengers Compound Battle,Marvel Super Heroes,Avengers Endgame,2019,699,7,Retail,True,01/04/2019,01/03/2021,"99;99 €","99;99 €","96;64 €",-3.35,New,,,Default,Owned,https://www.brickeconomy.com/set/76131-1/lego-avengers-endgame-avengers-compound-battle
111901-1,Garmadon,Ninjago,Magazine Gifts,2019,4,1,Promotional,True,10/04/2019,10/05/2019,"0;00 €","0;00 €","8;88 €",787.92,New,,,Default,Owned,https://www.brickeconomy.com/set/111901-1/lego-ninjago-garmadon
121903-1,Baby Raptor,Jurassic World,Magazine Gifts,2019,33,0,Promotional,True,01/01/2019,01/02/2019,"0;00 €","0;00 €","5;56 €",456.16,New,,,Default,Owned,https://www.brickeconomy.com/set/121903-1/lego-jurassic-world-baby-raptor
211902-1,Robin,DC Comics Super Heroes,Magazine Gifts,2019,5,1,Promotional,True,29/05/2019,18/06/2019,"0;00 €","0;00 €","5;68 €",467.60,New,,,Default,Owned,https://www.brickeconomy.com/set/211902-1/lego-robin
471905-1,Emmet with Tools,The Lego Movie 2 The Second Part,Magazine Gifts,2019,5,1,Promotional,True,01/04/2019,01/05/2019,"0;00 €","0;00 €","2;69 €",169.28,New,,,Default,Owned,https://www.brickeconomy.com/set/471905-1/the-lego-movie-2-the-second-part-emmet-with-tools
471906-1,Rex with Jetpack,The Lego Movie 2 The Second Part,Magazine Gifts,2019,0,1,Promotional,True,01/04/2019,01/05/2019,"0;00 €","0;00 €","2;79 €",178.96,New,,,Default,Owned,https://www.brickeconomy.com/set/471906-1/the-lego-movie-2-the-second-part-rex-with-jetpack
561902-1,Shop with Costumes,Friends,Magazine Gifts,2019,30,0,Promotional,True,01/01/2019,01/01/2021,"0;00 €","0;00 €","2;98 €",198.32,New,,,Default,Owned,https://www.brickeconomy.com/set/561902-1/lego-friends-shop-with-costumes
561903-1,Sweet Baby,Friends,Magazine Gifts,2019,15,1,Promotional,True,01/01/2019,01/01/2021,"0;00 €","0;00 €","4;63 €",362.88,New,,,Default,Owned,https://www.brickeconomy.com/set/561903-1/lego-friends-sweet-baby
561904-1,"Bear's Cave",Friends,Magazine Gifts,2019,22,0,Promotional,True,01/01/2019,01/01/2021,"0;00 €","0;00 €","3;33 €",232.64,New,,,Default,Owned,https://www.brickeconomy.com/set/561904-1/lego-friends-bears-cave
853879-1,Emmet Plush,Gear,Plush,2019,0,0,Retail,True,01/05/2019,01/05/2021,"24;99 €","24;99 €","59;93 €",139.81,New,,,Default,Owned,https://www.brickeconomy.com/set/853879-1/lego-emmet-plush
853900-1,4 4x4 Magnets,Gear,Magnets / Bricks,2019,0,0,Retail,True,01/01/2019,01/01/2021,"7;99 €","7;99 €","9;40 €",17.63,New,,,Default,Owned,https://www.brickeconomy.com/set/853900-1/lego-4-4x4-magnets
853903-1,Brick Suit Guy Key Chain,Gear,Key Chains / Minifigures,2019,0,1,Retail,True,01/01/2019,01/10/2020,"4;99 €","4;99 €","5;28 €",5.81,New,,,Default,Owned,https://www.brickeconomy.com/set/853903-1/lego-brick-suit-guy-key-chain
853904-1,Cactus Boy Key Chain,Gear,Key Chains / Minifigures,2019,0,1,Retail,False,01/01/2019,30/06/2025,"4;99 €","4;99 €","4;39 €",-12.00,New,,,Default,Owned,https://www.brickeconomy.com/set/853904-1/lego-cactus-boy-key-chain
853905-1,Elephant Girl Key Chain,Gear,Key Chains / Minifigures,2019,0,1,Retail,True,05/01/2020,01/10/2021,"4;99 €","4;99 €","4;98 €",-0.18,New,,,Default,Owned,https://www.brickeconomy.com/set/853905-1/lego-elephant-girl-key-chain
853906-1,Birthday Card,Seasonal,Birthday,2019,40,1,Exclusive,True,01/03/2019,01/03/2021,"4;99 €","4;99 €","6;15 €",23.27,New,,,Default,Owned,https://www.brickeconomy.com/set/853906-1/lego-birthday-card
853910-1,Ceramic Minifig Head Mug,Gear,Housewares,2019,0,0,Retail,False,01/01/2019,30/06/2025,"14;99 €","14;99 €","13;19 €",-12.00,New,,,Default,Owned,https://www.brickeconomy.com/set/853910-1/lego-ceramic-minifig-head-mug
853914-1,London Bus Magnet,Gear,Magnets / Locations,2019,33,0,Exclusive,True,01/01/2019,01/01/2021,"9;99 €","9;99 €","8;80 €",-11.91,New,,,Default,Owned,https://www.brickeconomy.com/set/853914-1/lego-london-bus-magnet
853922-1,Creative Rings,Friends,Accessories,2019,43,0,ExclusiveLEGOLAND,True,01/01/2019,01/01/2021,"7;91 €","7;91 €","229;92 €",2806.23,New,,,Default,Owned,https://www.brickeconomy.com/set/853922-1/lego-friends-creative-rings
853958-1,Chicken Skater Pod,Seasonal,Easter,2019,36,1,Promotional,True,05/04/2019,22/04/2019,"0;00 €","0;00 €","7;93 €",692.88,New,,,Default,Owned,https://www.brickeconomy.com/set/853958-1/lego-easter-chicken-skater-pod
853960-1,2x6 Key Chain,Gear,Key Chains / Brick,2019,0,0,Retail,True,01/01/2019,01/01/2021,"4;99 €","4;99 €","5;42 €",8.63,New,,,Default,Owned,https://www.brickeconomy.com/set/853960-1/lego-2x6-key-chain
891947-1,Heavy Metal,Ninjago,Magazine Gifts,2019,6,1,Promotional,True,27/02/2019,26/03/2019,"0;00 €","0;00 €","3;14 €",214.16,New,,,Default,Owned,https://www.brickeconomy.com/set/891947-1/lego-ninjago-heavy-metal
891948-1,Iron Baron,Ninjago,Magazine Gifts,2019,7,1,Promotional,True,27/03/2019,23/04/2019,"0;00 €","0;00 €","3;82 €",281.92,New,,,Default,Owned,https://www.brickeconomy.com/set/891948-1/lego-ninjago-iron-baron
911945-1,Slave I,Star Wars,Magazine Gifts,2019,31,0,Promotional,True,06/03/2019,03/04/2019,"0;00 €","0;00 €","2;89 €",188.64,New,,,Default,Owned,https://www.brickeconomy.com/set/911945-1/lego-star-wars-slave-i
911946-1,U-Wing,Star Wars,Magazine Gifts,2019,37,0,Promotional,True,04/04/2019,08/05/2019,"0;00 €","0;00 €","3;55 €",254.64,New,,,Default,Owned,https://www.brickeconomy.com/set/911946-1/lego-star-wars-u-wing
911947-1,IG-88,Star Wars,Magazine Gifts,2019,11,1,Promotional,True,09/05/2019,06/06/2019,"0;00 €","0;00 €","4;66 €",366.40,New,,,Default,Owned,https://www.brickeconomy.com/set/911947-1/lego-star-wars-ig-88
951903-1,Lawnmower,City,Magazine Gifts,2019,27,1,Promotional,True,01/01/2019,01/02/2019,"0;00 €","0;00 €","3;42 €",242.32,New,,,Default,Owned,https://www.brickeconomy.com/set/951903-1/lego-city-lawnmower
951904-1,Police Officer with Jetpack,City,Magazine Gifts,2019,10,1,Promotional,True,01/01/2019,01/02/2019,"0;00 €","0;00 €","2;82 €",181.60,New,,,Default,Owned,https://www.brickeconomy.com/set/951904-1/lego-city-police-officer-with-jetpack
2000456-1,Spike Prime Marketing Kit,Education,SPIKE Prime,2019,150,0,Promotional,True,01/01/2019,01/01/2021,"0;00 €","0;00 €","8;78 €",778.24,New,,,Default,Owned,https://www.brickeconomy.com/set/2000456-1/lego-education-spike-prime-marketing-kit
5005818-1,Boba Fett Bag Tag,Gear,Miscellaneous,2019,0,0,Retail,True,05/04/2019,05/04/2021,"7;99 €","7;99 €","17;52 €",119.28,New,,,Default,Owned,https://www.brickeconomy.com/set/5005818-1/lego-boba-fett-bag-tag
5005819-1,Darth Vader Bag Tag,Gear,Miscellaneous,2019,0,0,Retail,True,05/04/2019,05/04/2021,"7;99 €","7;99 €","9;75 €",22.03,New,,,Default,Owned,https://www.brickeconomy.com/set/5005819-1/lego-darth-vader-bag-tag
5005820-1,R2 D2 Bag Tag,Gear,Miscellaneous,2019,0,0,Retail,True,05/04/2019,20/04/2021,"7;99 €","7;99 €","5;27 €",-34.03,New,,,Default,Owned,https://www.brickeconomy.com/set/5005820-1/lego-r2-d2-bag-tag
